Provider State,Average Covered Charges
Illinois,$31877.00
Illinois,$25633.85
Illinois,$18353.00
Illinois,$24659.83
Illinois,$34774.21
Illinois,$48631.78
Illinois,$32428.96
Illinois,$42526.40
Illinois,$37699.75
Illinois,$27950.95
Illinois,$33828.57
Illinois,$28576.92
Illinois,$21852.91
Illinois,$28561.72
Illinois,$24047.58
Illinois,$58058.57
Illinois,$16858.45
Illinois,$47876.05
Illinois,$32482.92
Illinois,$31525.53
Indiana,$34741.50
Indiana,$23228.89
Indiana,$25856.23
Indiana,$22745.68
Indiana,$42572.59
Indiana,$28872.77
Indiana,$28730.95
Indiana,$45617.61
Indiana,$20633.33
Indiana,$15557.09
Indiana,$33416.90
Indiana,$24836.43
Indiana,$17997.56
Indiana,$38349.07
Indiana,$20525.14
Indiana,$22212.35
Indiana,$35710.81
Indiana,$22593.62
Indiana,$19576.38
Indiana,$22095.67
Indiana,$33676.30
Indiana,$25897.23
Indiana,$26232.00
Indiana,$23860.63
Indiana,$22382.72
Indiana,$36539.26
Indiana,$19772.92
Indiana,$9437.52
Indiana,$16938.26
Indiana,$25106.11
Indiana,$26619.63
Indiana,$25252.50
Indiana,$21765.47
Indiana,$25852.40
Indiana,$32063.18
Indiana,$30401.78
Indiana,$20321.70
Iowa,$18783.42
Iowa,$18283.08
Iowa,$23512.10
Iowa,$17654.42
Iowa,$19429.50
Iowa,$27753.57
Iowa,$23590.71
Iowa,$20053.20
Iowa,$21153.28
Iowa,$29444.00
Iowa,$26132.65
Iowa,$27622.88
Iowa,$15909.89
Iowa,$19246.82
Kansas,$25457.84
Kansas,$45477.87
Kansas,$17068.58
Kansas,$19810.83
Kansas,$41190.73
Kansas,$11874.25
Kansas,$39971.26
Kansas,$28878.64
Kansas,$22894.48
Kansas,$36609.00
Kansas,$20179.53
Kansas,$38828.58
Kansas,$11746.63
Kansas,$17080.11
Kansas,$15452.41
Kansas,$21232.82
Kentucky,$32284.56
Kentucky,$18180.78
Kentucky,$13662.38
Kentucky,$18149.16
Kentucky,$14913.36
Kentucky,$19681.27
Kentucky,$19748.35
Kentucky,$25198.52
Kentucky,$34177.92
Kentucky,$16257.11
Kentucky,$15505.00
Kentucky,$28477.95
Kentucky,$25952.23
Kentucky,$18517.60
Kentucky,$21124.14
Kentucky,$28600.19
Kentucky,$17891.93
Kentucky,$33830.50
Louisiana,$20048.35
Louisiana,$20590.91
Louisiana,$29967.83
Louisiana,$51236.10
Louisiana,$29321.20
Louisiana,$50781.33
Louisiana,$35364.05
Louisiana,$45992.00
Louisiana,$49305.26
Louisiana,$39018.09
Louisiana,$25752.90
Louisiana,$36367.36
Louisiana,$35290.23
Louisiana,$27285.21
Louisiana,$20987.01
Louisiana,$16632.33
Louisiana,$22864.00
Louisiana,$27845.87
Louisiana,$34134.31
Louisiana,$27083.57
Louisiana,$37827.42
Louisiana,$62214.15
Louisiana,$51507.48
Louisiana,$37828.52
Louisiana,$18758.55
Maine,$11722.21
Maine,$15717.82
Maine,$16001.94
Maryland,$6495.89
Maryland,$11580.16
Maryland,$8113.00
Maryland,$6774.25
Maryland,$11013.40
Maryland,$13676.72
Maryland,$11332.77
Maryland,$9103.14
Maryland,$8782.88
Maryland,$11885.78
Maryland,$6150.84
Maryland,$9271.43
Maryland,$17955.63
Maryland,$13051.83
Maryland,$9376.90
Maryland,$7807.97
Maryland,$7171.41
Maryland,$9530.81
Maryland,$5981.05
Maryland,$8636.86
Maryland,$8602.17
Massachusetts,$14929.42
Massachusetts,$14884.00
Massachusetts,$17176.13
Massachusetts,$12700.28
Massachusetts,$26927.19
Massachusetts,$19110.44
Massachusetts,$23619.83
Massachusetts,$14110.86
Massachusetts,$46292.18
Massachusetts,$23507.81
Massachusetts,$19238.54
Massachusetts,$15678.09
Massachusetts,$16556.07
Massachusetts,$16529.98
Massachusetts,$18007.92
Massachusetts,$38979.91
Massachusetts,$51636.44
Massachusetts,$24429.95
Massachusetts,$31229.16
Massachusetts,$9929.25
Massachusetts,$15441.11
Massachusetts,$20124.50
Massachusetts,$14741.95
Massachusetts,$13692.35
Massachusetts,$16418.40
Michigan,$18694.90
Michigan,$20494.25
Michigan,$20386.28
Michigan,$34338.47
Michigan,$19762.27
Michigan,$31944.31
Michigan,$22357.55
Michigan,$14654.34
Michigan,$15543.24
Michigan,$21735.21
Michigan,$22439.90
Michigan,$26024.88
Michigan,$19283.43
Michigan,$22537.40
Michigan,$25653.29
Michigan,$16385.10
Michigan,$24093.50
Michigan,$20394.50
Michigan,$15254.57
Michigan,$27379.88
Michigan,$13731.89
Michigan,$28822.95
Michigan,$22950.46
Michigan,$26176.02
Michigan,$25710.78
Michigan,$16450.91
Michigan,$31979.65
Michigan,$27995.59
Michigan,$17711.48
Michigan,$23259.85
Michigan,$24363.53
Michigan,$18607.73
Michigan,$17693.45
Michigan,$27193.89
Michigan,$28022.64
Michigan,$19195.36
Michigan,$12591.04
Michigan,$21591.76
Michigan,$17569.95
Michigan,$31908.66
Minnesota,$28847.95
Minnesota,$17597.54
Minnesota,$25844.83
Minnesota,$21249.25
Minnesota,$33972.07
Minnesota,$17466.44
Minnesota,$34628.73
Minnesota,$51058.64
Minnesota,$17139.52
Minnesota,$12607.73
Minnesota,$15378.63
Minnesota,$14996.30
Minnesota,$32270.19
Minnesota,$28506.64
Mississippi,$20600.18
Mississippi,$15615.08
Mississippi,$24757.58
Mississippi,$32590.63
Mississippi,$56501.88
Mississippi,$16094.73
Mississippi,$47045.12
Mississippi,$23840.42
Mississippi,$19534.85
Mississippi,$16732.33
Mississippi,$36666.05
Mississippi,$26736.18
Texas,$43531.42
Mississippi,$16572.90
Mississippi,$34301.92
Mississippi,$24547.23
Missouri,$15148.83
Missouri,$18893.54
Missouri,$21196.62
Missouri,$11025.57
Missouri,$22819.25
Missouri,$29222.00
Missouri,$41765.63
Missouri,$21531.71
Missouri,$18411.82
Missouri,$20238.00
Missouri,$27612.00
Missouri,$12889.36
Missouri,$19067.63
Missouri,$25976.26
Missouri,$25351.45
Missouri,$41315.00
Missouri,$19609.51
Missouri,$19240.29
Missouri,$15047.79
Missouri,$42454.29
Missouri,$75192.51
Missouri,$23523.01
Missouri,$41915.02
Missouri,$29369.18
Missouri,$30790.17
Missouri,$20889.92
Missouri,$18307.11
Missouri,$16135.50
Missouri,$32259.00
Missouri,$26651.00
Montana,$14227.39
Montana,$20515.96
Montana,$22178.94
Montana,$16555.54
Montana,$17520.05
Nebraska,$23809.12
Nebraska,$18298.54
Nebraska,$28566.72
Nebraska,$21959.62
Nebraska,$27950.03
Nebraska,$35408.75
Nebraska,$28984.45
Nebraska,$22269.00
Nebraska,$6994.06
Nevada,$23482.86
Nevada,$41199.28
Nevada,$45601.95
Nevada,$35737.21
Nevada,$53481.27
Nevada,$82666.26
Nevada,$41627.11
Nevada,$61187.58
Nevada,$45553.77
Nevada,$53917.81
Nevada,$38248.13
New Hampshire,$28318.15
New Hampshire,$22848.18
New Hampshire,$23444.72
New Hampshire,$25351.72
New Hampshire,$14912.42
New Hampshire,$22618.45
New Hampshire,$32770.57
New Hampshire,$23335.79
New Jersey,$46364.04
New Jersey,$29227.61
New Jersey,$28730.92
New Jersey,$45344.63
New Jersey,$19403.26
New Jersey,$40113.32
New Jersey,$46107.46
New Jersey,$42363.51
New Jersey,$48656.40
New Jersey,$42907.22
New Jersey,$53243.83
New Jersey,$41543.05
New Jersey,$30612.37
New Jersey,$25723.02
New Jersey,$23116.73
New Jersey,$36853.18
New Jersey,$28737.50
New Jersey,$28231.41
New Jersey,$24010.00
New Jersey,$35369.87
New Jersey,$40623.14
New Jersey,$49937.76
New Jersey,$43642.83
New Jersey,$37988.71
New Jersey,$29137.97
New Jersey,$28254.37
New Jersey,$38779.20
New Jersey,$25689.66
New Jersey,$33279.33
New Jersey,$28245.53
New Jersey,$15980.13
New Mexico,$26606.38
New Mexico,$32478.47
New Mexico,$31863.50
New Mexico,$42012.72
New Mexico,$27349.88
New Mexico,$33745.52
New Mexico,$33253.71
New York,$27984.39
New York,$17173.12
New York,$19226.16
New York,$25330.12
New York,$22169.41
New York,$32246.66
New York,$19167.42
New York,$14540.83
New York,$37429.92
New York,$24503.50
New York,$11361.86
New York,$14121.48
New York,$32142.36
New York,$30313.02
New York,$29515.52
New York,$7468.00
New York,$21845.72
New York,$16593.95
New York,$13836.72
New York,$13866.10
New York,$37392.85
New York,$21700.11
New York,$28110.20
New York,$31149.82
New York,$25982.95
New York,$18674.96
New York,$19445.30
New York,$9887.86
New York,$28410.00
New York,$58074.18
New York,$20792.16
New York,$13116.14
New York,$37047.06
New York,$16751.11
New York,$18943.95
New York,$53046.60
New York,$22077.12
New York,$27395.66
New York,$11658.47
New York,$15270.50
New York,$19814.58
New York,$14264.37
New York,$22250.25
New York,$16213.85
New York,$13858.29
New York,$37826.57
North Carolina,$26855.27
North Carolina,$18304.59
North Carolina,$14826.89
North Carolina,$21716.00
North Carolina,$17132.63
North Carolina,$19897.40
North Carolina,$24250.44
North Carolina,$23353.18
North Carolina,$21486.66
North Carolina,$24838.84
North Carolina,$25025.80
North Carolina,$29631.63
North Carolina,$28982.42
North Carolina,$23062.32
North Carolina,$12656.42
North Carolina,$24837.36
North Carolina,$12379.68
North Carolina,$34154.66
North Carolina,$16353.27
North Carolina,$40611.73
North Carolina,$15563.66
North Carolina,$16295.77
North Carolina,$32061.15
North Carolina,$11461.06
North Carolina,$17083.09
North Carolina,$19157.63
North Dakota,$12795.10
North Dakota,$16446.38
North Dakota,$13070.61
North Dakota,$11360.66
North Dakota,$16553.17
North Dakota,$16476.16
Ohio,$30554.45
Ohio,$34969.92
Ohio,$17463.00
Ohio,$30998.16
Ohio,$44739.20
Ohio,$28604.90
Ohio,$22104.04
Ohio,$22475.04
Ohio,$22974.03
Ohio,$21647.57
Ohio,$20142.04
Ohio,$14555.80
Ohio,$29398.54
Ohio,$33755.31
Ohio,$59512.24
Ohio,$27526.39
Ohio,$19931.50
Ohio,$28946.88
Ohio,$28088.11
Ohio,$32739.43
Ohio,$9973.26
Ohio,$23898.04
Ohio,$34193.04
Ohio,$15782.11
Ohio,$41482.78
Ohio,$10155.27
Ohio,$42623.10
Ohio,$20787.38
Ohio,$12743.00
Ohio,$19797.05
Ohio,$38106.00
Ohio,$11684.44
Ohio,$36421.81
Ohio,$47552.12
Ohio,$36665.58
Ohio,$34898.07
